"work_num","location","type","importance_c","log_est_cost_c","treated","post","did","token_cost","outcome_type","outcome"
"WO-00010","D288","Electrical",0.1775,-0.488953961573811,0,0,0,0,"log_days_to_complete",3.04927304048202
"WO-00011","E311","Plumbing",-0.8225,-0.827815584171324,1,0,0,0,"log_overrun_ratio",0.111346170442776
"WO-00011","E311","Plumbing",-0.8225,-0.827815584171324,1,0,0,0,"log_days_to_complete",0.78845736036427
"WO-00012","D819","Plumbing",-0.8225,-0.577231158645759,0,0,0,0,"log_overrun_ratio",0.349008524273974
"WO-00012","D819","Plumbing",-0.8225,-0.577231158645759,0,0,0,0,"log_days_to_complete",1.66770682055808
"WO-00013","C453","HVAC",-1.8225,0.599519357409951,0,0,0,0,"log_overrun_ratio",0.233515614731551
"WO-00013","C453","HVAC",-1.8225,0.599519357409951,0,0,0,0,"log_days_to_complete",1.22377543162212
"WO-00014","B558","Electrical",0.1775,-0.05660314256005,0,0,0,0,"log_overrun_ratio",-0.0190051420913607
"WO-00014","B558","Electrical",0.1775,-0.05660314256005,0,0,0,0,"log_days_to_complete",2.9704144655697
"WO-00015","A428","Plumbing",-1.8225,-0.934557244305857,0,0,0,0,"log_overrun_ratio",-0.0329868419502046
"WO-00015","A428","Plumbing",-1.8225,-0.934557244305857,0,0,0,0,"log_days_to_complete",1.1314021114911
"WO-00016","E311","HVAC",-0.8225,0.470594764605968,1,1,1,82.204,"log_overrun_ratio",-0.0468749459945951
"WO-00016","E311","HVAC",-0.8225,0.470594764605968,1,1,1,82.204,"log_days_to_complete",1.64865862558738
"WO-00017","B358","Structural",-0.8225,0.535760420192645,0,0,0,0,"log_overrun_ratio",0.306674050966513
"WO-00017","B358","Structural",-0.8225,0.535760420192645,0,0,0,0,"log_days_to_complete",1.66770682055808
"WO-00018","D991","HVAC",-1.8225,0.609696656460393,0,0,0,0,"log_overrun_ratio",0.350964188401528
"WO-00018","D991","HVAC",-1.8225,0.609696656460393,0,0,0,0,"log_days_to_complete",1.28093384546206
"WO-00019","D991","Fire Safety",0.1775,-0.916576712240049,0,0,0,0,"log_overrun_ratio",0.0465521753277617
"WO-00019","D991","Fire Safety",0.1775,-0.916576712240049,0,0,0,0,"log_days_to_complete",2.79728133483015
"WO-00020","D230","HVAC",0.1775,0.222340115486331,0,0,0,0,"log_overrun_ratio",0.239947014384629
"WO-00020","D230","HVAC",0.1775,0.222340115486331,0,0,0,0,"log_days_to_complete",3.10906095886099
"WO-00021","C453","HVAC",0.1775,0.171922034160364,0,0,0,0,"log_overrun_ratio",0.142078159419184
"WO-00021","C453","HVAC",0.1775,0.171922034160364,0,0,0,0,"log_days_to_complete",3.01553490085017
"WO-00022","D288","HVAC",0.1775,0.583481423315854,0,0,0,0,"log_overrun_ratio",0.173376353057734
"WO-00022","D288","HVAC",0.1775,0.583481423315854,0,0,0,0,"log_days_to_complete",2.90690105984738
"WO-00023","C453","Roofing",1.1775,-0.101426554152315,0,0,0,0,"log_overrun_ratio",0.397577277362829
"WO-00023","C453","Roofing",1.1775,-0.101426554152315,0,0,0,0,"log_days_to_complete",3.8308129500026
"WO-00024","D640","Plumbing",0.1775,-1.14530519639464,0,0,0,0,"log_overrun_ratio",0.34837974440114
"WO-00024","D640","Plumbing",0.1775,-1.14530519639464,0,0,0,0,"log_days_to_complete",2.97552956623647
"WO-00025","D492","IT",2.1775,0.0688401150106284,1,1,1,82.2055,"log_overrun_ratio",0.139112308053166
"WO-00025","D492","IT",2.1775,0.0688401150106284,1,1,1,82.2055,"log_days_to_complete",4.08260930600368
"WO-00026","D822","Structural",-1.8225,0.874089001647357,0,0,0,0,"log_overrun_ratio",0.322753918804467
"WO-00026","D822","Structural",-1.8225,0.874089001647357,0,0,0,0,"log_days_to_complete",1.16315080980568
"WO-00027","C285","Electrical",0.1775,-0.0715542590301439,0,0,0,0,"log_overrun_ratio",0.121465520522884
"WO-00027","C285","Electrical",0.1775,-0.0715542590301439,0,0,0,0,"log_days_to_complete",2.64617479738412
"WO-00028","C453","Electrical",1.1775,-0.190199787419164,0,0,0,0,"log_overrun_ratio",-0.0624189916115954
"WO-00028","C453","Electrical",1.1775,-0.190199787419164,0,0,0,0,"log_days_to_complete",3.51154543883102
"WO-00029","B816","Structural",-0.8225,0.929842593524953,1,1,1,82.2043,"log_overrun_ratio",0.171982066206128
"WO-00029","B816","Structural",-0.8225,0.929842593524953,1,1,1,82.2043,"log_days_to_complete",2.06686275947298
"WO-00030","E311","Electrical",-1.8225,-0.115366866504736,1,1,1,82.2013,"log_overrun_ratio",0.0583023712197615
"WO-00030","E311","Electrical",-1.8225,-0.115366866504736,1,1,1,82.2013,"log_days_to_complete",1.41098697371026
"WO-00031","D804","HVAC",1.1775,0.469871146569313,1,1,1,82.2049,"log_overrun_ratio",0.0853964357691331
"WO-00031","D804","HVAC",1.1775,0.469871146569313,1,1,1,82.2049,"log_days_to_complete",2.36085400111802
"WO-00032","E957","Electrical",0.1775,-0.356758491375777,1,1,1,82.2081,"log_overrun_ratio",0.278583838303302
"WO-00032","E957","Electrical",0.1775,-0.356758491375777,1,1,1,82.2081,"log_days_to_complete",2.67414864942653
"WO-00033","B435","HVAC",1.1775,0.624710720302417,1,1,1,82.2057,"log_overrun_ratio",-0.0447625138156002
"WO-00033","B435","HVAC",1.1775,0.624710720302417,1,1,1,82.2057,"log_days_to_complete",3.36384159511839
"WO-00034","A428","Roofing",-0.8225,-0.308104347443452,0,0,0,0,"log_overrun_ratio",0.183722301454912
"WO-00034","A428","Roofing",-0.8225,-0.308104347443452,0,0,0,0,"log_days_to_complete",1.68639895357023
"WO-00035","B435","Electrical",0.1775,-0.138217089726453,1,1,1,82.2054,"log_overrun_ratio",0.0199740457502568
"WO-00035","B435","Electrical",0.1775,-0.138217089726453,1,1,1,82.2054,"log_days_to_complete",3.13549421592915
"WO-00036","E544","Plumbing",1.1775,-0.570763144959951,0,0,0,0,"log_overrun_ratio",0.0279473688070185
"WO-00036","E544","Plumbing",1.1775,-0.570763144959951,0,0,0,0,"log_days_to_complete",2.89591193827178
"WO-00037","B916","Roofing",-1.8225,0.263380529781202,1,0,0,0,"log_overrun_ratio",0.1153735361252
"WO-00037","B916","Roofing",-1.8225,0.263380529781202,1,0,0,0,"log_days_to_complete",1.7227665977411
"WO-00038","D492","Elevator",-1.8225,0.673381279531093,1,1,1,82.2017,"log_overrun_ratio",0.0127641951762194
"WO-00038","D492","Elevator",-1.8225,0.673381279531093,1,1,1,82.2017,"log_days_to_complete",0.741937344729377
"WO-00039","A389","Roofing",-0.8225,0.386003769649886,1,1,1,82.2083,"log_overrun_ratio",0.26026353337594
"WO-00039","A389","Roofing",-0.8225,0.386003769649886,1,1,1,82.2083,"log_days_to_complete",2.32238772029023
"WO-00040","A389","IT",-0.8225,-0.528668229589215,1,1,1,82.2052,"log_overrun_ratio",-0.0420077143723799
"WO-00040","A389","IT",-0.8225,-0.528668229589215,1,1,1,82.2052,"log_days_to_complete",2.55722731136763
"WO-00041","C742","Electrical",1.1775,0.134324177050265,1,1,1,82.2035,"log_overrun_ratio",0.118648650428061
"WO-00041","C742","Electrical",1.1775,0.134324177050265,1,1,1,82.2035,"log_days_to_complete",3.34286180464919
"WO-00042","A375","Roofing",1.1775,-0.0468398096323774,0,0,0,0,"log_overrun_ratio",0.07534775700719
"WO-00042","A375","Roofing",1.1775,-0.0468398096323774,0,0,0,0,"log_days_to_complete",3.45946628978613
"WO-00043","B435","Electrical",2.1775,-0.273639257943712,1,1,1,82.2017,"log_overrun_ratio",0.25837342211606
"WO-00043","B435","Electrical",2.1775,-0.273639257943712,1,1,1,82.2017,"log_days_to_complete",3.93378449720966
"WO-00044","E934","Plumbing",1.1775,-0.737559202314252,1,1,1,82.205,"log_overrun_ratio",0.111708336798275
"WO-00044","E934","Plumbing",1.1775,-0.737559202314252,1,1,1,82.205,"log_days_to_complete",3.25809653802148
"WO-00045","B105","HVAC",-1.8225,0.560938124456442,1,1,1,82.2062,"log_overrun_ratio",0.250882266376203
"WO-00045","B105","HVAC",-1.8225,0.560938124456442,1,1,1,82.2062,"log_days_to_complete",0.641853886172395
"WO-00046","A726","Structural",0.1775,1.14766965165011,0,0,0,0,"log_overrun_ratio",0.0896501175175532
"WO-00046","A726","Structural",0.1775,1.14766965165011,0,0,0,0,"log_days_to_complete",2.45100509811232
"WO-00047","A726","Fire Safety",0.1775,-0.809271440028517,0,0,0,0,"log_overrun_ratio",-0.15490228035484
"WO-00047","A726","Fire Safety",0.1775,-0.809271440028517,0,0,0,0,"log_days_to_complete",2.91235066461494
"WO-00048","B409","Electrical",0.1775,0.14416138347652,1,1,1,82.2068,"log_overrun_ratio",0.29296219668558
"WO-00048","B409","Electrical",0.1775,0.14416138347652,1,1,1,82.2068,"log_days_to_complete",3.21486780347066
"WO-00049","D230","HVAC",1.1775,0.724427888234874,0,0,0,0,"log_overrun_ratio",0.200995352168607
"WO-00049","D230","HVAC",1.1775,0.724427888234874,0,0,0,0,"log_days_to_complete",3.49347265777133
"WO-00050","C252","Fire Safety",-1.8225,-0.349324546924249,0,0,0,0,"log_overrun_ratio",0.13118319340271
"WO-00050","C252","Fire Safety",-1.8225,-0.349324546924249,0,0,0,0,"log_days_to_complete",1.33500106673234
"WO-00051","D380","Elevator",0.1775,0.44335410605304,1,1,1,82.2076,"log_overrun_ratio",-0.144722645768041
"WO-00051","D380","Elevator",0.1775,0.44335410605304,1,1,1,82.2076,"log_days_to_complete",2.51769647261099
"WO-00052","D360","HVAC",1.1775,0.28170763571136,0,0,0,0,"log_overrun_ratio",0.0898451608401094
"WO-00052","D360","HVAC",1.1775,0.28170763571136,0,0,0,0,"log_days_to_complete",3.43720781918519
"WO-00053","D640","HVAC",2.1775,0.404002627755276,0,0,0,0,"log_overrun_ratio",0.404098417838809
"WO-00053","D640","HVAC",2.1775,0.404002627755276,0,0,0,0,"log_days_to_complete",4.3425058765116
"WO-00054","E563","HVAC",0.1775,0.262293509246804,1,1,1,82.2079,"log_overrun_ratio",0.195874230958316
"WO-00054","E563","HVAC",0.1775,0.262293509246804,1,1,1,82.2079,"log_days_to_complete",2.74727091425549
"WO-00055","A726","HVAC",-0.8225,0.252777527348913,0,0,0,0,"log_overrun_ratio",0.10388166136645
"WO-00055","A726","HVAC",-0.8225,0.252777527348913,0,0,0,0,"log_days_to_complete",2.47653840011748
"WO-00056","B358","Electrical",-0.8225,-0.132158631420998,0,0,0,0,"log_overrun_ratio",0.0758188950460438
"WO-00056","B358","Electrical",-0.8225,-0.132158631420998,0,0,0,0,"log_days_to_complete",1.09861228866811
"WO-00057","D991","Roofing",2.1775,0.347277668292735,0,0,0,0,"log_overrun_ratio",0.288244902389294
"WO-00057","D991","Roofing",2.1775,0.347277668292735,0,0,0,0,"log_days_to_complete",4.67095792652609
"WO-00058","C252","HVAC",0.1775,0.271571506122205,0,0,0,0,"log_overrun_ratio",-0.0367829708763461
"WO-00058","C252","HVAC",0.1775,0.271571506122205,0,0,0,0,"log_days_to_complete",3.22684399451738
"WO-00059","B105","HVAC",0.1775,0.570207348215126,1,1,1,82.2053,"log_overrun_ratio",0.0994767003283104
"WO-00059","B105","HVAC",0.1775,0.570207348215126,1,1,1,82.2053,"log_days_to_complete",2.76000994003292
"WO-00060","D991","Roofing",-1.8225,0.164384524748714,0,0,0,0,"log_overrun_ratio",0.43865315331024
"WO-00060","D991","Roofing",-1.8225,0.164384524748714,0,0,0,0,"log_days_to_complete",1.28093384546206
"WO-00061","D207","Elevator",2.1775,0.817223886387369,0,0,0,0,"log_overrun_ratio",0.0166857185259893
"WO-00061","D207","Elevator",2.1775,0.817223886387369,0,0,0,0,"log_days_to_complete",4.2570301444992
"WO-00062","B916","HVAC",-1.8225,0.32375048715584,1,0,0,0,"log_overrun_ratio",0.257204342826843
"WO-00062","B916","HVAC",-1.8225,0.32375048715584,1,0,0,0,"log_days_to_complete",1.16315080980568
"WO-00063","D360","HVAC",-1.8225,0.567252904649633,0,0,0,0,"log_overrun_ratio",0.182361707052287
"WO-00063","D360","HVAC",-1.8225,0.567252904649633,0,0,0,0,"log_days_to_complete",1.1314021114911
"WO-00064","B916","IT",0.1775,-0.160542666984801,1,1,1,82.2033,"log_overrun_ratio",0.249276364574135
"WO-00064","B916","IT",0.1775,-0.160542666984801,1,1,1,82.2033,"log_days_to_complete",2.57261223020711
"WO-00065","D804","Fire Safety",0.1775,-0.973976996017026,1,1,1,82.2058,"log_overrun_ratio",-0.136093499329893
"WO-00065","D804","Fire Safety",0.1775,-0.973976996017026,1,1,1,82.2058,"log_days_to_complete",2.91235066461494
"WO-00066","E316","Structural",1.1775,1.01302986872369,1,1,1,82.2071,"log_overrun_ratio",0.265990333740416
"WO-00066","E316","Structural",1.1775,1.01302986872369,1,1,1,82.2071,"log_days_to_complete",3.27714473299218
"WO-00067","B435","Plumbing",-1.8225,-1.22296643213267,1,1,1,82.206,"log_overrun_ratio",0.122816782877468
"WO-00067","B435","Plumbing",-1.8225,-1.22296643213267,1,1,1,82.206,"log_days_to_complete",0.182321556793955
"WO-00068","B558","IT",-0.8225,0.292325757670369,0,0,0,0,"log_overrun_ratio",0.218295215883156
"WO-00068","B558","IT",-0.8225,0.292325757670369,0,0,0,0,"log_days_to_complete",2.10413415427021
"WO-00069","E252","Fire Safety",2.1775,-0.277221347317658,1,1,1,82.2073,"log_overrun_ratio",0.0697091216660124
"WO-00069","E252","Fire Safety",2.1775,-0.277221347317658,1,1,1,82.2073,"log_days_to_complete",4.16355963124357
"WO-00070","E957","HVAC",2.1775,0.703685956443207,1,1,1,82.2046,"log_overrun_ratio",0.0848023397259617
"WO-00070","E957","HVAC",2.1775,0.703685956443207,1,1,1,82.2046,"log_days_to_complete",3.54673968695281
"WO-00071","A375","HVAC",1.1775,0.858845662763837,0,0,0,0,"log_overrun_ratio",0.0882993751812096
"WO-00071","A375","HVAC",1.1775,0.858845662763837,0,0,0,0,"log_days_to_complete",2.36085400111802
"WO-00072","D822","Electrical",0.1775,-0.242245426019236,0,0,0,0,"log_overrun_ratio",0.35633930407066
"WO-00072","D822","Electrical",0.1775,-0.242245426019236,0,0,0,0,"log_days_to_complete",2.58776403522771
"WO-00073","D207","Elevator",0.1775,0.711577349880764,0,0,0,0,"log_overrun_ratio",0.161897107618959
"WO-00073","D207","Elevator",0.1775,0.711577349880764,0,0,0,0,"log_days_to_complete",2.70805020110221
"WO-00074","A428","Elevator",-1.8225,0.790169496394679,0,0,0,0,"log_overrun_ratio",0.179274061521995
"WO-00074","A428","Elevator",-1.8225,0.790169496394679,0,0,0,0,"log_days_to_complete",1.33500106673234
"WO-00075","B409","Electrical",1.1775,-0.525871206169048,1,0,0,0,"log_overrun_ratio",0.293867986432413
"WO-00075","B409","Electrical",1.1775,-0.525871206169048,1,0,0,0,"log_days_to_complete",3.02529107579554
"WO-00076","E252","Plumbing",-0.8225,-0.664262758862673,1,1,1,82.205,"log_overrun_ratio",0.301960978256369
"WO-00076","E252","Plumbing",-0.8225,-0.664262758862673,1,1,1,82.205,"log_days_to_complete",1.98787434815435
"WO-00077","A428","Electrical",2.1775,-0.426262792040871,0,0,0,0,"log_overrun_ratio",0.517993118726596
"WO-00077","A428","Electrical",2.1775,-0.426262792040871,0,0,0,0,"log_days_to_complete",4.09767235231478
"WO-00078","A389","HVAC",0.1775,0.403345532636694,1,1,1,82.2047,"log_overrun_ratio",0.160102978015382
"WO-00078","A389","HVAC",0.1775,0.403345532636694,1,1,1,82.2047,"log_days_to_complete",3.04452243772342
"WO-00079","D513","HVAC",0.1775,0.684178642147897,0,0,0,0,"log_overrun_ratio",0.319108136317326
"WO-00079","D513","HVAC",0.1775,0.684178642147897,0,0,0,0,"log_days_to_complete",3.07269331469012
"WO-00080","D991","Elevator",-0.8225,0.481904194575286,0,0,0,0,"log_overrun_ratio",0.180269202632253
"WO-00080","D991","Elevator",-0.8225,0.481904194575286,0,0,0,0,"log_days_to_complete",2.41591377830105
"WO-00081","D207","Roofing",0.1775,0.284006345988715,0,0,0,0,"log_overrun_ratio",0.00725643615787483
"WO-00081","D207","Roofing",0.1775,0.284006345988715,0,0,0,0,"log_days_to_complete",2.92852352386054
"WO-00082","B409","HVAC",1.1775,0.362877603176807,1,1,1,82.2049,"log_overrun_ratio",0.0934631072981077
"WO-00082","B409","HVAC",1.1775,0.362877603176807,1,1,1,82.2049,"log_days_to_complete",2.98061863574394
"WO-00083","D207","Plumbing",-1.8225,-0.889049058508007,0,0,0,0,"log_overrun_ratio",-0.0999867490042497
"WO-00083","D207","Plumbing",-1.8225,-0.889049058508007,0,0,0,0,"log_days_to_complete",0.405465108108164
"WO-00084","B435","Fire Safety",-0.8225,-0.534117708319311,1,1,1,82.2029,"log_overrun_ratio",0.239120729107647
"WO-00084","B435","Fire Safety",-0.8225,-0.534117708319311,1,1,1,82.2029,"log_days_to_complete",2.04122032885964
"WO-00085","D804","Fire Safety",-0.8225,-1.16857431265224,1,1,1,82.207,"log_overrun_ratio",0.168217300081097
"WO-00085","D804","Fire Safety",-0.8225,-1.16857431265224,1,1,1,82.207,"log_days_to_complete",2.15176220325946
"WO-00086","D822","IT",-0.8225,0.123303022434792,0,0,0,0,"log_overrun_ratio",0.000953410579254366
"WO-00086","D822","IT",-0.8225,0.123303022434792,0,0,0,0,"log_days_to_complete",1.84054963339749
"WO-00087","D360","Electrical",0.1775,-0.0520111291014249,0,0,0,0,"log_overrun_ratio",0.217730488139554
"WO-00087","D360","Electrical",0.1775,-0.0520111291014249,0,0,0,0,"log_days_to_complete",2.40694510831829
"WO-00088","E252","Elevator",0.1775,0.570272679309291,1,1,1,82.208,"log_overrun_ratio",-0.0220147955921812
"WO-00088","E252","Elevator",0.1775,0.570272679309291,1,1,1,82.208,"log_days_to_complete",2.68102152871429
"WO-00089","C252","Elevator",0.1775,0.780191903798478,0,0,0,0,"log_overrun_ratio",0.100149043115542
"WO-00089","C252","Elevator",0.1775,0.780191903798478,0,0,0,0,"log_days_to_complete",2.40694510831829
"WO-00090","A924","HVAC",0.1775,0.523168237924004,1,0,0,0,"log_overrun_ratio",-0.0496069690872628
"WO-00090","A924","HVAC",0.1775,0.523168237924004,1,0,0,0,"log_days_to_complete",3.15700042115011
"WO-00091","E957","Plumbing",2.1775,-0.50382570665648,1,1,1,82.2088,"log_overrun_ratio",0.0790647160841011
"WO-00091","E957","Plumbing",2.1775,-0.50382570665648,1,1,1,82.2088,"log_days_to_complete",3.75185425327532
"WO-00092","E563","Fire Safety",-0.8225,-0.777419568025593,1,0,0,0,"log_overrun_ratio",0.107579427986844
"WO-00092","E563","Fire Safety",-0.8225,-0.777419568025593,1,0,0,0,"log_days_to_complete",1.82454929205105
"WO-00093","B558","HVAC",-0.8225,0.351597526107154,0,0,0,0,"log_overrun_ratio",-0.0425707382553222
"WO-00093","B558","HVAC",-0.8225,0.351597526107154,0,0,0,0,"log_days_to_complete",2.2512917986065
"WO-00094","C742","Electrical",-1.8225,-1.08093394481234,1,1,1,82.2032,"log_overrun_ratio",0.0414338447051482
"WO-00094","C742","Electrical",-1.8225,-1.08093394481234,1,1,1,82.2032,"log_days_to_complete",1.28093384546206
"WO-00095","D288","Elevator",-0.8225,0.357346489084939,0,0,0,0,"log_overrun_ratio",0.0804825642836276
"WO-00095","D288","Elevator",-0.8225,0.357346489084939,0,0,0,0,"log_days_to_complete",1.91692261218206
"WO-00096","D207","Roofing",0.1775,0.178967768425137,0,0,0,0,"log_overrun_ratio",0.250057793959971
"WO-00096","D207","Roofing",0.1775,0.178967768425137,0,0,0,0,"log_days_to_complete",2.81540871942271
"WO-00097","D492","Plumbing",-1.8225,-1.15895464235237,1,1,1,82.2021,"log_overrun_ratio",0.120119842309223
"WO-00097","D492","Plumbing",-1.8225,-1.15895464235237,1,1,1,82.2021,"log_days_to_complete",0.262364264467491
"WO-00098","D991","Roofing",0.1775,-0.443318301197378,0,0,0,0,"log_overrun_ratio",-0.356675133027533
"WO-00098","D991","Roofing",0.1775,-0.443318301197378,0,0,0,0,"log_days_to_complete",2.79728133483015
"WO-00099","A526","Fire Safety",1.1775,-0.184132618299145,1,1,1,82.2078,"log_overrun_ratio",0.061762367893711
"WO-00099","A526","Fire Safety",1.1775,-0.184132618299145,1,1,1,82.2078,"log_days_to_complete",3.87120101090789
"WO-00100","A924","Electrical",0.1775,-0.213589754372649,1,1,1,82.2033,"log_overrun_ratio",0.0433071379615894
"WO-00100","A924","Electrical",0.1775,-0.213589754372649,1,1,1,82.2033,"log_days_to_complete",2.69462718077007
"WO-00101","A404","Electrical",0.1775,-0.208208820107059,0,0,0,0,"log_overrun_ratio",0.23755373473796
"WO-00101","A404","Electrical",0.1775,-0.208208820107059,0,0,0,0,"log_days_to_complete",2.66025953726586
"WO-00102","E563","IT",-0.8225,-0.209753307667874,1,0,0,0,"log_overrun_ratio",0.309889769581734
"WO-00102","E563","IT",-0.8225,-0.209753307667874,1,0,0,0,"log_days_to_complete",1.58923520511658
"WO-00103","B105","Structural",0.1775,1.1789515040167,1,1,1,82.2049,"log_overrun_ratio",0.251217550194584
"WO-00103","B105","Structural",0.1775,1.1789515040167,1,1,1,82.2049,"log_days_to_complete",2.79728133483015
"WO-00104","D360","Fire Safety",-0.8225,-0.740444750257454,0,0,0,0,"log_overrun_ratio",0.193720481646184
"WO-00104","D360","Fire Safety",-0.8225,-0.740444750257454,0,0,0,0,"log_days_to_complete",2.45100509811232
"WO-00105","B435","HVAC",1.1775,0.651444998862607,1,1,1,82.2086,"log_overrun_ratio",0.0453650081766517
"WO-00105","B435","HVAC",1.1775,0.651444998862607,1,1,1,82.2086,"log_days_to_complete",3.60004824040732
"WO-00106","C742","Elevator",0.1775,0.863010588094737,1,1,1,82.2022,"log_overrun_ratio",-0.0636635853556378
"WO-00106","C742","Elevator",0.1775,0.863010588094737,1,1,1,82.2022,"log_days_to_complete",2.56494935746154
"WO-00107","C742","Roofing",0.1775,0.349424653593795,1,1,1,82.2075,"log_overrun_ratio",0.193930349809114
"WO-00107","C742","Roofing",0.1775,0.349424653593795,1,1,1,82.2075,"log_days_to_complete",3.29212628660779
"WO-00108","B558","Roofing",2.1775,0.302728751706784,0,0,0,0,"log_overrun_ratio",0.181537657151571
"WO-00108","B558","Roofing",2.1775,0.302728751706784,0,0,0,0,"log_days_to_complete",3.79773385902602
"WO-00109","D380","Fire Safety",0.1775,-0.515848844986598,1,1,1,82.2051,"log_overrun_ratio",0.115935925477956
"WO-00109","D380","Fire Safety",0.1775,-0.515848844986598,1,1,1,82.2051,"log_days_to_complete",2.52572864430826
"WO-00110","D288","IT",0.1775,-0.111372869787656,0,0,0,0,"log_overrun_ratio",0.190660647903151
"WO-00110","D288","IT",0.1775,-0.111372869787656,0,0,0,0,"log_days_to_complete",3.08190996979504
"WO-00111","E544","HVAC",-1.8225,0.0654803935931731,0,0,0,0,"log_overrun_ratio",0.39436299637184
"WO-00111","E544","HVAC",-1.8225,0.0654803935931731,0,0,0,0,"log_days_to_complete",1.19392246847243
"WO-00112","A375","Structural",-1.8225,-0.513690770208701,0,0,0,0,"log_overrun_ratio",0.241838314181647
"WO-00112","A375","Structural",-1.8225,-0.513690770208701,0,0,0,0,"log_days_to_complete",1.02961941718116
"WO-00113","A924","Electrical",-0.8225,-0.43284656012302,1,1,1,82.2072,"log_overrun_ratio",0.041979845203106
"WO-00113","A924","Electrical",-0.8225,-0.43284656012302,1,1,1,82.2072,"log_days_to_complete",2.24070968927596
"WO-00114","A404","Fire Safety",2.1775,-0.935470551601998,0,0,0,0,"log_overrun_ratio",0.204367371400045
"WO-00114","A404","Fire Safety",2.1775,-0.935470551601998,0,0,0,0,"log_days_to_complete",3.71113006304876
"WO-00115","B435","Elevator",-0.8225,0.122602775441395,1,1,1,82.2039,"log_overrun_ratio",0.100621281338076
"WO-00115","B435","Elevator",-0.8225,0.122602775441395,1,1,1,82.2039,"log_days_to_complete",2.27212588550934
"WO-00116","D819","Fire Safety",0.1775,-0.56411711862566,0,0,0,0,"log_overrun_ratio",0.152860255136103
"WO-00116","D819","Fire Safety",0.1775,-0.56411711862566,0,0,0,0,"log_days_to_complete",2.41591377830105
"WO-00117","D822","Roofing",0.1775,-0.100726250643186,0,0,0,0,"log_overrun_ratio",0.229333542440856
"WO-00117","D822","Roofing",0.1775,-0.100726250643186,0,0,0,0,"log_days_to_complete",1.38629436111989
"WO-00118","A924","Plumbing",1.1775,-0.941941646059179,1,1,1,82.2048,"log_overrun_ratio",0.126167799295454
"WO-00118","A924","Plumbing",1.1775,-0.941941646059179,1,1,1,82.2048,"log_days_to_complete",3.56388296393925
"WO-00119","A526","Electrical",1.1775,-0.61935523853179,1,1,1,82.2013,"log_overrun_ratio",0.174122472875741
"WO-00119","A526","Electrical",1.1775,-0.61935523853179,1,1,1,82.2013,"log_days_to_complete",3.4626060097908
"WO-00120","B887","Structural",-1.8225,1.1046406239743,1,0,0,0,"log_overrun_ratio",0.283163638199282
"WO-00120","B887","Structural",-1.8225,1.1046406239743,1,0,0,0,"log_days_to_complete",0.741937344729377
"WO-00121","E252","Structural",0.1775,0.967808353248531,1,1,1,82.2061,"log_overrun_ratio",0.208109780213883
"WO-00121","E252","Structural",0.1775,0.967808353248531,1,1,1,82.2061,"log_days_to_complete",2.97552956623647
"WO-00122","B358","Plumbing",1.1775,-1.53051359612752,0,0,0,0,"log_overrun_ratio",-0.127364528341465
"WO-00122","B358","Plumbing",1.1775,-1.53051359612752,0,0,0,0,"log_days_to_complete",0.78845736036427
